order_id,customer_id,order_timestamp,order_date,city,customer_type,customer_tenure_days,previous_orders,prior_cancellations,email_verified,traffic_source,device_type,session_duration_minutes,pages_viewed,cart_items,product,category,quantity,unit_price,discount_percent,coupon_code,shipping_fee,delivery_distance_km,estimated_delivery_days,payment_method,gross_amount,discount_amount,total_amount,order_status,actual_delivery_days,customer_rating
1,13681,2024-03-06 05:49:07,2024-03-06,Ilorin,New,6,0,0,True,Affiliate,Mobile,4.2,6,1,T-Shirt,Fashion,1,8500.0,10,FLASH15,1900.0,25.4,4,Card,8500.0,850.0,9550.0,Delivered,5.0,4.0
2,12075,2025-07-19 18:17:04,2025-07-19,Benin City,Returning,402,14,0,True,Organic,Mobile,8.3,6,6,Air Fryer,Home & Kitchen,4,66200.0,10,SAVE5,1900.0,25.4,5,Card,264800.0,26480.0,240220.0,Delivered,7.0,4.0
3,10402,2025-04-23 11:48:09,2025-04-23,Abuja,Returning,221,5,0,True,Email,Mobile,9.1,4,2,Smart Watch,Electronics,1,54600.0,0,,2500.0,38.3,5,Bank Transfer,54600.0,0.0,57100.0,Delivered,6.0,4.0
4,10764,2024-11-16 19:40:59,2024-11-16,Port Harcourt,Returning,178,13,1,False,Referral,Mobile,45.8,15,3,Cookware Set,Home & Kitchen,3,79600.0,5,FLASH15,2100.0,28.6,5,Cash on Delivery,238800.0,11940.0,228960.0,Delivered,6.0,3.0
5,11214,2024-11-12 12:49:09,2024-11-12,Port Harcourt,New,82,0,0,True,Social Media,Mobile,8.4,10,4,T-Shirt,Fashion,1,11600.0,10,SAVE10,2400.0,34.9,5,Bank Transfer,11600.0,1160.0,12840.0,Cancelled,,
6,12032,2025-09-19 15:14:29,2025-09-19,Lagos,New,22,0,0,True,Affiliate,Mobile,4.6,6,4,Desk Lamp,Home & Kitchen,1,15800.0,20,SAVE5,2300.0,28.4,4,Bank Transfer,15800.0,3160.0,14940.0,Cancelled,,
7,14430,2024-03-03 19:49:48,2024-03-03,Benin City,New,43,0,0,True,Social Media,Mobile,27.5,10,5,Phone Charger,Electronics,3,12300.0,25,SAVE5,1700.0,19.5,3,Card,36900.0,9225.0,29375.0,Delivered,3.0,4.0
8,10598,2025-05-24 18:37:28,2025-05-24,Ibadan,Returning,892,5,1,True,Affiliate,Desktop,12.2,6,4,Resistance Bands,Sports & Fitness,2,8600.0,20,WEEKEND20,2200.0,30.1,4,Card,17200.0,3440.0,15960.0,Cancelled,,
9,12885,2024-05-27 06:34:53,2024-05-27,Ibadan,Returning,157,12,1,True,Social Media,Mobile,8.5,5,2,Phone Charger,Electronics,2,11500.0,5,SAVE10,2100.0,28.1,3,Bank Transfer,23000.0,1150.0,23950.0,Delivered,6.0,4.0
10,11737,2024-03-09 20:14:50,2024-03-09,Lagos,VIP,758,38,0,True,Social Media,Mobile,33.0,12,2,Skincare Set,Beauty & Personal Care,1,23100.0,25,WEEKEND20,1800.0,17.3,3,Bank Transfer,23100.0,5775.0,19125.0,Delivered,3.0,4.0
11,10233,2025-01-19 20:32:49,2025-01-19,Lagos,New,67,0,0,True,Referral,Desktop,15.5,6,1,Yoga Mat,Sports & Fitness,1,13700.0,5,MEGA30,2000.0,21.0,3,Card,13700.0,685.0,15015.0,Delivered,4.0,4.0
12,13097,2025-12-14 04:19:05,2025-12-14,Enugu,New,4,1,1,True,Email,Mobile,4.7,4,5,Phone Charger,Electronics,2,13000.0,0,,2500.0,37.0,5,Card,26000.0,0.0,28500.0,Delivered,6.0,4.0
13,13522,2025-06-21 20:02:21,2025-06-21,Lagos,New,69,1,0,False,Affiliate,Mobile,10.8,8,4,Backpack,Fashion,4,31500.0,0,,2100.0,22.5,3,Wallet,126000.0,0.0,128100.0,Refunded,,
14,14798,2025-07-10 09:26:04,2025-07-10,Lagos,VIP,534,17,0,True,Organic,Mobile,23.5,7,4,Air Fryer,Home & Kitchen,3,57600.0,10,SAVE5,2000.0,22.2,5,Bank Transfer,172800.0,17280.0,157520.0,Cancelled,,
15,12534,2025-06-08 11:25:16,2025-06-08,Ibadan,New,50,1,0,True,Organic,Mobile,2.6,3,2,Resistance Bands,Sports & Fitness,2,9900.0,15,MEGA30,1700.0,20.0,4,Card,19800.0,2970.0,18530.0,Cancelled,,
16,11628,2025-07-28 14:42:43,2025-07-28,Kano,VIP,622,11,0,True,Paid Search,Tablet,19.0,4,7,Dumbbell Set,Sports & Fitness,4,55600.0,5,MEGA30,1900.0,25.1,4,Bank Transfer,222400.0,11120.0,213180.0,Delivered,7.0,4.0
17,14273,2025-01-10 04:02:48,2025-01-10,Lagos,New,22,1,1,True,Paid Search,Mobile,7.2,4,3,Hoodie,Fashion,2,27300.0,15,SAVE5,1600.0,12.3,3,Card,54600.0,8190.0,48010.0,Cancelled,,
18,11237,2024-04-03 15:37:31,2024-04-03,Lagos,Returning,30,3,1,True,Paid Search,Mobile,13.2,8,5,Water Bottle,Sports & Fitness,4,5800.0,0,,1900.0,18.2,4,Bank Transfer,23200.0,0.0,25100.0,Cancelled,,
19,13413,2025-09-05 20:32:33,2025-09-05,Benin City,VIP,757,25,1,True,Paid Search,Mobile,2.0,7,4,Running Shoes,Fashion,2,40600.0,20,SAVE5,2200.0,32.2,4,Cash on Delivery,81200.0,16240.0,67160.0,Delivered,4.0,5.0
20,14717,2024-11-25 05:34:14,2024-11-25,Enugu,New,15,0,0,True,Referral,Mobile,3.4,6,4,T-Shirt,Fashion,3,8000.0,15,FLASH15,2000.0,26.9,5,Wallet,24000.0,3600.0,22400.0,Cancelled,,
21,10023,2024-12-31 18:10:25,2024-12-31,Port Harcourt,New,35,0,0,False,Organic,Mobile,10.9,7,3,Storage Rack,Home & Kitchen,2,35400.0,10,FLASH15,2200.0,30.2,4,Cash on Delivery,70800.0,7080.0,65920.0,Delivered,5.0,5.0
22,14626,2024-09-28 01:16:49,2024-09-28,Benin City,New,82,0,0,True,Email,Desktop,6.4,7,5,Perfume,Beauty & Personal Care,3,29400.0,0,,2300.0,33.3,3,Wallet,88200.0,0.0,90500.0,Cancelled,,
23,11029,2024-05-13 10:39:02,2024-05-13,Abuja,New,6,0,0,True,Email,Mobile,16.4,5,2,Smart Watch,Electronics,2,43800.0,20,SAVE10,2600.0,40.1,6,Card,87600.0,17520.0,72680.0,Cancelled,,
24,12408,2025-11-08 11:09:52,2025-11-08,Kano,New,68,1,0,True,Paid Search,Desktop,21.4,5,7,Skincare Set,Beauty & Personal Care,5,18100.0,20,SAVE10,1800.0,22.3,2,Card,90500.0,18100.0,74200.0,Delivered,2.0,4.0
25,11290,2025-07-25 07:49:09,2025-07-25,Port Harcourt,Returning,814,14,1,True,Paid Search,Mobile,3.2,7,5,Phone Charger,Electronics,2,9600.0,0,,2400.0,36.3,2,Cash on Delivery,19200.0,0.0,21600.0,Delivered,1.0,4.0
26,10723,2025-04-15 15:58:10,2025-04-15,Benin City,New,48,1,0,True,Referral,Mobile,12.6,13,4,Hoodie,Fashion,1,23300.0,0,,2500.0,38.3,4,Bank Transfer,23300.0,0.0,25800.0,Cancelled,,
27,13512,2024-10-21 03:57:26,2024-10-21,Kano,New,64,0,0,True,Organic,Mobile,8.5,8,6,Yoga Mat,Sports & Fitness,4,13900.0,0,,1400.0,13.5,3,Bank Transfer,55600.0,0.0,57000.0,Cancelled,,
28,12411,2025-08-24 10:31:46,2025-08-24,Lagos,Returning,230,14,0,True,Email,Mobile,7.4,9,1,Electric Kettle,Home & Kitchen,1,17400.0,5,SAVE5,2100.0,24.1,2,Card,17400.0,870.0,18630.0,Delivered,4.0,4.0
29,12547,2025-02-02 17:00:29,2025-02-02,Lagos,Returning,99,1,0,True,Email,Mobile,7.9,7,4,Wristwatch,Fashion,1,57600.0,0,,1700.0,15.4,4,Bank Transfer,57600.0,0.0,59300.0,Delivered,4.0,4.0
30,12419,2024-11-20 03:15:30,2024-11-20,Benin City,Returning,480,14,2,False,Organic,Mobile,8.1,4,7,Perfume,Beauty & Personal Care,4,40500.0,30,WEEKEND20,1900.0,23.7,4,Card,162000.0,48600.0,115300.0,Cancelled,,
31,13738,2024-11-25 06:51:44,2024-11-25,Lagos,New,29,1,0,True,Organic,Mobile,6.1,3,5,Wristwatch,Fashion,3,54800.0,0,,2500.0,32.8,5,Bank Transfer,164400.0,0.0,166900.0,Delivered,6.0,4.0
32,14831,2024-06-15 02:40:33,2024-06-15,Ibadan,Returning,612,3,0,True,Social Media,Desktop,23.4,16,4,Laptop Stand,Electronics,1,36500.0,0,,2700.0,41.7,4,Wallet,36500.0,0.0,39200.0,Cancelled,,
33,12565,2024-03-08 08:25:56,2024-03-08,Port Harcourt,Returning,195,7,0,True,Paid Search,Mobile,1.3,5,2,Blender,Home & Kitchen,2,27100.0,15,MEGA30,1500.0,16.2,4,Cash on Delivery,54200.0,8130.0,47570.0,Delivered,3.0,5.0
34,10778,2025-02-09 09:38:07,2025-02-09,Lagos,New,48,1,1,False,Referral,Mobile,8.5,4,4,Football,Sports & Fitness,2,13500.0,30,SAVE5,2100.0,22.4,5,Cash on Delivery,27000.0,8100.0,21000.0,Delivered,8.0,5.0
35,11637,2025-10-11 01:08:20,2025-10-11,Kano,New,21,1,0,True,Organic,Desktop,23.8,12,4,Backpack,Fashion,4,34900.0,15,WEEKEND20,2400.0,34.9,4,Card,139600.0,20940.0,121060.0,Cancelled,,
36,12481,2024-02-16 15:36:35,2024-02-16,Port Harcourt,New,23,0,0,True,Social Media,Mobile,7.7,9,5,Phone Charger,Electronics,3,11300.0,5,MEGA30,1500.0,16.4,2,Card,33900.0,1695.0,33705.0,Delivered,5.0,3.0
37,10519,2025-09-19 09:51:44,2025-09-19,Enugu,Returning,89,6,1,False,Referral,Mobile,3.1,8,2,Skincare Set,Beauty & Personal Care,2,19200.0,15,SAVE5,1600.0,17.0,2,Card,38400.0,5760.0,34240.0,Delivered,3.0,4.0
38,11146,2025-08-27 23:57:39,2025-08-27,Lagos,New,80,1,1,True,Affiliate,Mobile,7.2,6,4,Sneakers,Fashion,3,37700.0,20,FLASH15,2100.0,22.4,4,Wallet,113100.0,22620.0,92580.0,Refunded,,
39,11014,2024-07-21 07:28:19,2024-07-21,Lagos,New,50,1,0,True,Social Media,Mobile,18.4,7,4,Sneakers,Fashion,3,38100.0,10,FLASH15,1500.0,10.3,3,Card,114300.0,11430.0,104370.0,Delivered,4.0,4.0
40,14865,2025-04-06 17:55:12,2025-04-06,Lagos,New,17,1,0,True,Referral,Mobile,6.7,9,6,Electric Kettle,Home & Kitchen,4,17600.0,30,WEEKEND20,2100.0,22.4,4,Wallet,70400.0,21120.0,51380.0,Delivered,5.0,5.0
41,12004,2024-04-30 18:46:44,2024-04-30,Lagos,Returning,359,13,0,True,Referral,Desktop,24.9,15,5,Football,Sports & Fitness,3,12000.0,15,FLASH15,1400.0,8.8,3,Card,36000.0,5400.0,32000.0,Delivered,5.0,5.0
42,14396,2025-07-08 03:53:27,2025-07-08,Ibadan,VIP,1279,10,0,True,Email,Desktop,5.2,4,4,Hoodie,Fashion,2,24400.0,10,FLASH15,2500.0,37.8,6,Card,48800.0,4880.0,46420.0,Cancelled,,
43,12758,2025-05-27 01:58:29,2025-05-27,Abuja,Returning,589,12,0,True,Email,Desktop,4.6,4,3,Laptop Stand,Electronics,1,30800.0,10,,2400.0,35.0,3,Wallet,30800.0,3080.0,30120.0,Delivered,4.0,4.0
44,12531,2024-09-16 03:48:12,2024-09-16,Lagos,New,80,1,0,True,Organic,Desktop,9.1,8,4,Air Fryer,Home & Kitchen,1,63300.0,0,,1100.0,1.0,2,Bank Transfer,63300.0,0.0,64400.0,Cancelled,,
45,14694,2024-02-19 15:35:18,2024-02-19,Ilorin,Returning,510,3,0,True,Affiliate,Mobile,14.5,11,4,Wristwatch,Fashion,3,56500.0,15,SAVE10,1800.0,21.5,5,Card,169500.0,25425.0,145875.0,Delivered,6.0,5.0
46,13460,2025-12-10 13:55:33,2025-12-10,Lagos,New,46,0,0,True,Organic,Desktop,12.6,6,4,Phone Charger,Electronics,2,13900.0,10,MEGA30,1700.0,13.8,4,Card,27800.0,2780.0,26720.0,Delivered,6.0,5.0
47,11199,2024-11-21 19:08:28,2024-11-21,Abuja,New,13,0,0,True,Email,Desktop,8.0,9,4,Storage Rack,Home & Kitchen,2,39600.0,5,SAVE10,1600.0,16.7,4,Card,79200.0,3960.0,76840.0,Delivered,7.0,4.0
48,11409,2025-10-14 20:55:00,2025-10-14,Enugu,Returning,395,2,0,True,Referral,Mobile,7.3,6,1,Electric Kettle,Home & Kitchen,1,17900.0,15,SAVE10,2200.0,32.2,6,Card,17900.0,2685.0,17415.0,Delivered,9.0,4.0
49,13331,2025-05-10 13:24:39,2025-05-10,Ibadan,New,66,0,0,True,Organic,Desktop,15.9,7,2,Desk Lamp,Home & Kitchen,2,15800.0,5,SAVE10,1900.0,25.0,4,Bank Transfer,31600.0,1580.0,31920.0,Cancelled,,
50,10012,2025-07-22 23:57:35,2025-07-22,Abuja,New,82,0,0,True,Paid Search,Mobile,6.6,10,1,Wristwatch,Fashion,1,52100.0,5,WEEKEND20,1900.0,23.9,5,Wallet,52100.0,2605.0,51395.0,Delivered,4.0,4.0
51,10763,2025-07-09 11:40:32,2025-07-09,Ilorin,Returning,359,3,0,True,Paid Search,Mobile,11.3,5,6,Hoodie,Fashion,3,23700.0,10,FLASH15,1600.0,18.3,3,Cash on Delivery,71100.0,7110.0,65590.0,Refunded,,
